"Excess.mortality","Schools","Face.masks","Lockdown.severity","Majority.COVID.19.variant","Flights.7.day.moving.average","OpenTable.restaurant.bookings.London.index","Google.homeworking.Greater.London.mobility.index","Google.workplace.Greater.London.mobility.index","Apple.walking.London.mobility.index","Google.parks.Greater.London.mobility.index","Google.retail.recreation.Greater.London.mobility.index","Google.grocery.pharmacy.Greater.London.mobility.index","Google.transit.stations.mobility.index","TfL.Tube.mobility.index","TfL.Bus.mobility.index","Citymapper.journeys.mobility.index","Season","PCR.tests","PCR.tests.capacity","Antibody.tests","Antibody.tests.capacity","Pillar.1.NHS.and.UKHSA.capacity","Pillar.2.UK.Government.capacity","Pillar.3.Antibody.capacity","Pillar.4.Surveillance.capacity","Pillar.1.NHS.and.UKHSA.tests","Pillar.2.UK.Government.tests","Pillar.3.Antibody.tests","Pillar.4.Surveillance.tests","Tests.across.all.4.Pillars","New.cases","New.infections","Reinfections","Hospital.admissions","Patients.in.hospital","Patients.in.MVBs","Vaccinations.total","Vaccinations.1st.dose","Vaccinations.2nd.dose","Vaccinations.3rd.dose","First.dose.uptake","Second.dose.uptake","Third.dose.uptake","COVID.19.deaths.on.certificate"
-13.4666666666667,"Open","No","No_or_limited_measures","Omicron BA.2",5715,95.029127102141,109.513614087043,44.8931753543145,127.34696289914,112.689843393242,87.4135854643774,97.323379621505,68.266263495595,93.5171550726163,91.6127828619337,228.852780862788,"Summer",61248.7977061781,287754.59511301,1344,122400,160391.971542542,114650,120000,2400,45556.0699092048,100482.819244417,404,12243,151536.226631864,1646.66079167027,1356.65261854925,1126.03306056086,521.962664864089,5113.4418125985,-170.29656829543,29377.8270112965,6105.92916596811,8983.30509304056,12539.4904474177,92.9047816323444,86.9472500190428,69.0216436252742,2.59484741348229
-14.7777777777778,"Open","No","No_or_limited_measures","Omicron BA.2",5661,95.0188990182288,109.183576469715,44.1991687486628,127.334211430472,113.138990910009,85.2526277620444,96.9571676017433,66.1208190217434,93.5171513531869,91.439817904086,231.011368721319,"Summer",60192.5375029637,290735.098051092,1497,122400,163211.751174931,114650,120000,2400,48093.323292477,118472.525434645,392,7392,174556.952708906,2170.68196630523,1783.07298906017,1238.91130606727,510.410694835711,5211.46605439632,-118.575839212637,26328.1849599859,6357.87941651877,12284.667811084,11920.5570972915,92.9405971080294,86.9698519807544,69.065248927374,3.63532654401602
-16.0888888888889,"Open","No","No_or_limited_measures","Omicron BA.2",5626,95.0095898651023,105.271368411094,59.4671403520011,127.392431926443,113.831378619131,83.7097065908558,95.8670823910635,67.8193125109702,93.7758134574083,91.2866076234427,233.13497286528,"Summer",57366.1637812404,293581.765422398,930,122400,166021.354928995,114650,120000,2400,48434.2395546688,147309.262242527,212,8129,205664.15016952,2533.08354467972,2082.68086591302,1267.03617196843,498.871999467841,5237,-72.1541332889234,18901.3089367476,5200.44092709568,8526.85136674285,7669.95178193208,92.9731814504348,86.9879844278081,69.139326089636,5.01326334568978
-17.4,"Open","No","No_or_limited_measures","Omicron BA.2",5642,95.0005573217578,103.987097252194,74.7891396247268,127.482814008155,115.40826072198,85.1350408240926,96.4718244443733,74.1662110077673,93.6551629964645,91.1170628958658,235.223761728928,"Summer",57149.2862343499,296293.755044667,816,122400,168820.138411758,114650,120000,2400,46466.7963043917,119708.888743184,298,4222,173122.669489108,2632.23834815765,2172.53084948193,1192.03418126055,487.429551616151,5050,-30.7824363736371,10199,2628,3306,4265,93,87,69.2,6.38371473885629
-17.4,"Open","No","No_or_limited_measures","Omicron BA.2",5617,94.9911823685316,99.5760274320492,83.455156893343,127.526543244708,120.201430087894,84.724257295877,95.4910259322801,72.2690792094832,92.907832025844,90.8830417225836,237.27790374652,"Summer",58132.2630533602,298854.281610749,900,122400,171607.457230241,114650,120000,2400,43921.4877139368,106758.709208304,96,1086,161462.980751225,2591.93319675889,2149.23877296492,1076.11760887988,476.68494340902,4900,5.80563392142668,19675,5621,6472,7582,93,87,69.2,7.19722147231428
-17.4,"Open","No","No_or_limited_measures","Omicron BA.2",5596,94.9813167129395,104.145877451631,58.3140917948797,127.573321184596,136.689985916307,83.7461206402328,96.9707039748271,64.6661852584819,93.2462727359337,90.7238499141356,239.297567352313,"Summer",62035.3507996106,301241.733360096,148,122400,174382.666991473,114650,120000,2400,43128.626428064,145398.566850822,148,11183,206099.185193067,2677.00186432124,2222.96435890056,1016.67899842293,471,4946,37.8899070533093,3834,1033,1177,1624,93,87,69.2,7
-17.4,"Open","No","No_or_limited_measures","Omicron BA.2",5563,94.971209172287,111,28,127.641710349711,176,85,95,61,95.165005745533,90.7874686564661,241.282920980564,"Summer",64009.0946332759,303462.306902455,317,122400,177145.123302471,114650,120000,2400,45308.4611151678,145279.142966144,317,9240,203256.638991894,3076.2876441687,2545.31146489238,1071.00810744818,502,4930,65.759801200438,9246,2266,2390,4590,93,87,69.2,11
-17.4,"Open","No","No_or_limited_measures","Omicron BA.2",5593,94.9611868295032,105,57,127.679649959741,113,88,101,70,93.7643705867723,90.4682463605201,243.234133065529,"Summer",65057.2414114552,305535.012659308,860,122400,179894.181770265,114650,120000,2400,49395.7885727668,109641.4649119,260,10931,163973.592385337,3728.95012397056,3070.47715613371,1209.2016700242,566,4904,89.7105603435824,28747,6970,8628,13149,93,87,69.1,13
-17.4,"Open","No","No_or_limited_measures","Omicron BA.2",5667,94.9514040896233,108,58,127.71791319018,86,78,93,68,89.0948232764372,89.5902770375347,245.151372041467,"Spring",62149.6941117699,307461.90215417,1222,122400,182629.198001874,114650,120000,2400,52777.7241796642,130276.248814441,400,7146,190545.018307714,4347.91561628471,3572.02618386273,1333.75368812945,580,5154,110.039617810886,30048,7650,8775,13623,93,87,69.1,23
-17.4,"Open","No","No_or_limited_measures","Omicron BA.2",5680,94.9417919646676,109,56,127.781211938415,99,80,93,66,92.5644651857023,89.9083379761895,247.034806342631,"Spring",60264.3603174537,309248.851491787,338,122400,185349.527604325,114650,120000,2400,53045.7168402241,161806.303369329,283,8675,224562.895032241,4639.49952481376,3815.76077341173,1353.43331646688,547,5192,127.043115558994,27680,6769,8051,12860,93,86.9,69.1,36
